File Name,Line Number
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\a.txt,12
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\a.txt,13
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\a.txt,14
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\a.txt,17
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,1
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,2
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,4
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,6
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,8
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,9
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,12
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,13
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,16
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,17
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,18
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,19
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,20
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,21
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,24
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,25
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,26
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,28
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,29
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,30
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,32
D:\KMITL\rust programming\Rust Project\data_collecting\Test For Project\e.txt,33
